id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
3,u,0.0,0.0,4.0,662,53.0,0,0.0,0,0.0,0.2,359,52.0,0,0,0.0,563.0,71.0,0,0,0.0,498.0,66.0,0.0,0.0,0.0,5545,0,46200,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,71.0,0.0,546.0,60.0,0.0,511.0,45.0,0.0,557.0,71.0,,,,20,,Karl,Hein,Hein,Has joined Werder Bremen on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
703,a,,,3.9,751,89.0,0,0.0,-1,1.0,0.6,232,31.0,0,0,0.0,534.0,56.0,0,0,0.0,469.0,51.0,0.0,0.0,0.0,71424,2731,24381,1553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0,56.0,0.0,515.0,43.0,0.0,478.0,28.0,0.0,528.0,56.0,,,,20,,Sam,Proctor,Proctor,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
4,a,,,3.9,750,88.0,0,0.0,-1,1.0,0.3,334,46.0,0,0,0.0,533.0,55.0,0,0,0.0,468.0,50.0,0.0,0.0,0.0,30427,525,25842,487,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.0,55.0,0.0,514.0,42.0,0.0,477.0,27.0,0.0,527.0,55.0,,,,20,,Tommy,Setford,Setford,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
5,a,100.0,100.0,6.6,48,1.0,1,-1.0,6,-6.0,25.5,13,4.0,106,9,7.6,2.0,1.0,16,337,4.2,57.0,18.0,0.6,16.1,0.0,5590507,364197,4906266,4674,4.7,5.2,1.42,0.71,2.13,8.59,0.11,0.05,0.16,0.66,421.8,37.0,16.0,65.7,260.0,78.0,146.0,124.0,20.0,63.2,107.0,33.0,,,,20,,Gabriel,dos Santos Magalhães,Gabriel,,,1175,3,2,8,7,0,0,0,1,0,0,13,132,,,,0.0,0.61,0.54,1.0,8.96,14,103,18
6,a,100.0,100.0,5.9,97,6.0,0,0.0,-1,1.0,11.7,32,10.0,54,1,3.4,133.0,50.0,1,260,2.2,181.0,68.0,0.4,9.2,0.0,1311978,12489,1843626,26464,2.7,3.2,0.29,0.29,0.58,10.25,0.02,0.02,0.04,0.73,255.2,154.0,66.0,44.7,307.0,101.0,22.0,340.0,114.0,32.2,261.0,88.0,,,,20,,William,Saliba,Saliba,,,1264,0,0,6,9,0,0,0,0,0,0,15,119,,,,0.0,0.43,0.64,1.07,6.27,18,70,56
89,u,0.0,0.0,4.9,287,179.0,0,0.0,-1,1.0,0.0,654,268.0,0,0,0.0,732.0,313.0,0,0,0.0,704.0,299.0,0.0,0.0,0.0,598,0,6562,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.0,312.0,0.0,729.0,313.0,0.0,720.0,311.0,0.0,733.0,313.0,,,,20,,Philip,Billing,Philip,Has joined Midtjylland permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
185,a,,,3.9,709,64.0,0,0.0,-1,1.0,0.2,387,57.0,0,0,0.0,502.0,32.0,0,0,0.0,435.0,26.0,0.0,0.0,0.0,12581,131,16572,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0,32.0,0.0,482.0,18.0,0.0,444.0,3.0,0.0,496.0,32.0,,,,20,,Václav,Hladký,Hladký,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
186,i,0.0,0.0,4.4,509,102.0,0,0.0,-1,1.0,0.0,634,220.0,0,0,0.0,633.0,243.0,0,0,0.0,584.0,233.0,0.0,0.0,0.0,1175,7,8681,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,243.0,0.0,620.0,244.0,0.0,593.0,241.0,0.0,627.0,244.0,,,,20,,Connor,Roberts,Roberts,Achilles injury - Unknown return date,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
108,a,100.0,100.0,4.4,508,101.0,0,0.0,-1,1.0,0.2,394,144.0,40,3,2.9,192.0,77.0,1,112,2.7,148.0,56.0,0.6,9.1,0.0,16748,497,21643,199,2.7,2.7,0.64,0.54,1.18,13.29,0.07,0.06,0.13,1.36,212.6,186.0,76.0,28.5,341.0,118.0,112.0,164.0,32.0,35.4,239.0,79.0,,,,20,,Kristoffer,Ajer,Ajer,,,881,0,2,2,15,0,0,0,1,0,0,10,108,,,,0.0,0.2,1.53,1.02,10.32,20,81,26
130,a,,,4.4,548,329.0,0,0.0,-1,1.0,0.1,468,159.0,0,0,0.0,652.0,253.0,0,0,0.0,606.0,226.0,0.0,0.0,0.0,12401,101,15846,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,246.0,0.0,641.0,249.0,0.0,617.0,239.0,0.0,649.0,249.0,,,,20,,Romelle,Donovan,Donovan,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
