player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
421,25-26-efl-cup-manchester-city-vs-newcastle-united,28,0,0,0,0.0,0.02,0,0,0,0,30,25,0.0,0.0,6,0,0.0,0,0.0,0,0,2,0,1,1,1,1,2,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410,25-26-efl-cup-manchester-city-vs-newcastle-united,28,0,0,0,0.0,0.02,0,0,0,1,20,9,0.0,2.0,0,0,0.0,0,0.0,0,0,2,0,0,0,0,2,2,2,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488,25-26-efl-cup-manchester-city-vs-newcastle-united,87,0,0,2,0.06,0.01,1,1,0,2,44,25,0.0,0.0,1,0,0.0,2,0.0,0,1,3,0,0,0,1,4,6,4,0.0,0,0.0,2,3,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.05,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
491,25-26-efl-cup-manchester-city-vs-newcastle-united,21,0,0,1,0.07,0.02,0,0,0,0,22,12,0.0,0.0,1,0,0.0,1,0.0,0,0,2,0,0,0,0,2,2,2,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486,25-26-efl-cup-manchester-city-vs-newcastle-united,21,0,0,0,0.0,0.02,0,0,0,3,15,6,0.0,1.0,0,0,0.0,1,0.0,0,1,3,0,0,0,1,1,1,1,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,25-26-efl-cup-manchester-city-vs-newcastle-united,90,0,0,1,0.12,0.0,1,0,1,1,64,43,0.0,0.0,0,0,0.0,1,0.0,0,1,1,2,8,3,0,3,2,1,0.0,2,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,25-26-efl-cup-manchester-city-vs-newcastle-united,69,0,0,0,0.0,0.0,0,0,0,0,27,18,0.0,0.0,2,0,0.0,0,0.0,0,0,4,0,1,0,0,3,2,3,0.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,25-26-efl-cup-manchester-city-vs-newcastle-united,46,0,0,0,0.0,0.15,0,0,0,1,19,13,0.0,1.0,1,0,0.0,0,0.0,0,0,2,0,0,0,1,0,3,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,2,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,25-26-efl-cup-manchester-city-vs-newcastle-united,90,0,0,0,0.0,0.0,0,0,0,0,32,12,0.0,0.0,3,0,0.0,6,0.0,0,0,7,0,2,0,0,0,0,0,0.0,0,0.0,0,0,3,2,1.69,-0.31,1,12,6,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,25-26-efl-cup-manchester-city-vs-newcastle-united,28,0,0,1,0.05,0.26,0,0,0,0,15,5,0.0,0.0,0,1,0.0,0,0.0,0,0,1,0,1,0,1,0,4,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489,25-26-efl-cup-manchester-city-vs-newcastle-united,44,0,0,0,0.0,0.21,0,0,0,1,14,4,0.0,1.0,2,1,0.0,1,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
684,25-26-efl-cup-manchester-city-vs-newcastle-united,90,0,0,0,0.0,0.03,0,0,0,0,49,35,0.0,0.0,3,0,0.0,2,0.0,0,1,3,1,5,1,0,1,1,0,0.0,1,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497,25-26-efl-cup-manchester-city-vs-newcastle-united,90,0,0,0,0.0,0.03,0,0,0,2,48,29,0.0,0.0,3,0,0.0,2,0.0,0,0,3,0,4,2,1,2,4,2,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,25-26-efl-cup-manchester-city-vs-newcastle-united,69,0,0,3,0.28,0.0,1,0,2,3,11,3,0.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0,0,0,1,2,0,0.0,1,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.75,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
714,25-26-efl-cup-manchester-city-vs-newcastle-united,21,0,0,0,0.0,0.02,0,0,1,2,10,5,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,1,0,7,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,25-26-efl-cup-manchester-city-vs-newcastle-united,3,0,0,0,0.0,0.0,0,0,0,0,11,6,0.0,0.0,2,0,0.0,1,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,25-26-efl-cup-manchester-city-vs-newcastle-united,2,0,1,0,0.0,0.24,0,1,0,1,11,6,0.0,1.0,1,0,0.0,1,0.0,0,0,0,0,1,1,0,1,1,1,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
