id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
1,a,,,6.0,85,1.0,0,0.0,5,-5.0,36.4,5,1.0,75,0,4.4,53.0,4.0,4,303,3.3,73.0,7.0,0.6,12.5,0.0,3203972,805,1282255,1502,4.3,4.3,0.0,0.04,0.04,10.12,0.0,0.0,0.0,0.6,266.8,112.0,16.0,10.3,375.0,3.0,0.0,763.0,88.0,27.8,253.0,16.0,,,,18,,David,Raya Martín,Raya,,,1530,0,0,9,10,0,0,0,1,0,27,17,94,,,,1.59,0.53,0.59,1.0,0.0,0,13,141
2,a,,,4.1,623,38.0,0,0.0,-4,4.0,0.4,269,35.0,0,0,0.0,583.0,78.0,0,0,0.0,523.0,72.0,0.0,0.0,0.0,11192,11,69452,22,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.0,78.0,0.0,564.0,67.0,0.0,533.0,52.0,0.0,577.0,78.0,,,,18,,Kepa,Arrizabalaga Revuelta,Arrizabalaga,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
3,u,0.0,0.0,4.0,650,52.0,0,0.0,0,0.0,0.2,348,51.0,0,0,0.0,549.0,70.0,0,0,0.0,488.0,64.0,0.0,0.0,0.0,5545,0,45556,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,70.0,0.0,530.0,59.0,0.0,498.0,44.0,0.0,543.0,70.0,,,,18,,Karl,Hein,Hein,Has joined Werder Bremen on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
4,a,,,3.9,736,85.0,0,0.0,-1,1.0,0.2,335,48.0,0,0,0.0,519.0,55.0,0,0,0.0,458.0,49.0,0.0,0.0,0.0,26883,31,23406,27,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,55.0,0.0,498.0,42.0,0.0,465.0,27.0,0.0,513.0,55.0,,,,18,,Tommy,Setford,Setford,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
5,d,25.0,25.0,6.2,75,3.0,0,0.0,2,-2.0,12.3,30,10.0,81,0,7.4,2.0,1.0,13,279,0.0,757.0,253.0,0.0,13.1,0.0,3889952,174,4878493,1595,0.2,0.2,0.82,0.69,1.51,6.17,0.07,0.06,0.13,0.56,318.6,65.0,28.0,62.6,243.0,71.0,88.0,180.0,38.0,46.9,143.0,51.0,,,,18,,Gabriel,dos Santos Magalhães,Gabriel,Thigh injury - 25% chance of playing,,990,1,2,7,5,0,0,0,1,0,0,11,115,,,,0.0,0.64,0.45,1.0,9.09,12,88,15
6,a,100.0,100.0,5.9,98,6.0,0,0.0,-1,1.0,11.4,34,12.0,49,0,3.8,93.0,37.0,1,231,1.3,240.0,85.0,0.2,8.3,0.0,1185470,1146,1752993,367,2.3,2.3,0.29,0.28,0.57,5.3,0.03,0.03,0.06,0.48,218.6,150.0,64.0,42.1,289.0,93.0,20.0,321.0,105.0,28.1,252.0,84.0,,,,18,,William,Saliba,Saliba,,,994,0,0,6,5,0,0,0,0,0,0,12,104,,,,0.0,0.54,0.45,1.09,6.61,12,61,48
7,a,100.0,100.0,5.7,122,12.0,0,0.0,2,-2.0,10.4,39,14.0,77,0,4.8,30.0,16.0,4,287,2.3,135.0,55.0,0.4,13.5,0.0,2523189,926,1796485,607,3.3,3.3,2.49,0.36,2.85,7.09,0.18,0.03,0.21,0.51,222.0,149.0,63.0,104.8,169.0,40.0,219.0,62.0,4.0,54.5,106.0,32.0,,,,18,,Riccardo,Calafiori,Calafiori,,,1256,1,2,9,7,0,0,0,5,0,0,16,124,,,,0.0,0.64,0.5,1.15,6.09,28,57,57
8,a,100.0,100.0,6.5,51,1.0,0,0.0,10,-10.0,33.8,6,2.0,86,0,5.1,18.0,10.0,7,314,2.3,139.0,56.0,0.4,13.2,0.0,5149093,2272,1602923,1711,3.3,3.3,3.76,0.81,4.57,8.76,0.25,0.05,0.3,0.57,311.2,74.0,32.0,228.9,62.0,14.0,277.0,38.0,1.0,81.9,34.0,2.0,,,,18,,Jurriën,Timber,J.Timber,,,1377,2,3,7,10,0,0,0,2,0,0,15,116,,,,0.0,0.46,0.65,0.98,5.62,43,43,57
9,u,0.0,0.0,5.4,168,21.0,0,0.0,-1,1.0,0.0,569,206.0,0,0,0.0,752.0,254.0,0,0,0.0,740.0,252.0,0.0,0.0,0.0,1119,0,10748,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753.0,255.0,0.0,752.0,255.0,0.0,748.0,254.0,0.0,753.0,255.0,,,,18,,Jakub,Kiwior,Kiwior,has joined Porto on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
10,a,,,5.1,235,37.0,0,0.0,-4,4.0,1.7,145,57.0,9,0,0.8,462.0,158.0,0,28,0.3,360.0,127.0,0.1,1.8,0.0,121500,61,419510,258,1.3,1.3,0.05,0.05,0.1,2.5,0.02,0.02,0.04,1.15,19.4,403.0,152.0,33.1,313.0,105.0,14.0,342.0,116.0,6.6,388.0,135.0,,,,18,,Myles,Lewis-Skelly,Lewis-Skelly,,,195,0,0,0,3,0,0,0,2,0,0,0,17,,,,0.0,0.0,1.38,0.0,4.62,3,7,11
