player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
11,25-26-champions-league-arsenal-vs-inter,26,0,0,0,0.0,0.01,0,0,0,0,12,6,0.0,0.0,3,0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,25-26-champions-league-arsenal-vs-inter,64,0,0,2,0.17,0.18,1,0,0,2,26,13,0.0,0.0,1,0,0.0,0,0.0,0,0,1,0,1,0,0,2,4,2,0.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.48,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
569,25-26-champions-league-borussia-dortmund-vs-tottenham-hotspur,90,1,0,3,0.15,0.16,1,0,0,6,71,52,0.0,1.0,7,0,0.0,2,0.0,0,0,5,0,7,5,0,6,3,2,0.0,4,0.0,1,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.52,1,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
568,25-26-champions-league-borussia-dortmund-vs-tottenham-hotspur,90,0,0,1,0.09,0.09,0,0,0,5,90,44,0.0,2.0,7,3,0.0,5,0.0,0,5,10,0,4,2,3,3,6,3,0.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
574,25-26-champions-league-borussia-dortmund-vs-tottenham-hotspur,90,0,0,0,0.0,0.07,0,0,0,1,82,59,0.0,1.0,6,0,0.0,3,0.0,0,1,8,0,1,1,0,6,3,6,0.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,4,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,25-26-champions-league-manchester-city-vs-bodø/glimt,90,1,0,2,0.13,0.56,2,2,0,8,94,55,0.0,4.0,8,2,0.0,1,0.0,0,1,4,0,0,0,2,6,9,6,0.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.47,2,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,25-26-champions-league-manchester-city-vs-bodø/glimt,90,0,1,1,0.07,0.41,1,3,1,4,102,74,0.0,3.0,6,1,0.0,0,0.0,0,1,5,0,1,1,1,6,2,5,0.0,1,0.0,1,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.02,1,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410,25-26-champions-league-manchester-city-vs-bodø/glimt,90,0,0,0,0.0,0.12,0,2,0,3,91,70,0.0,2.0,7,1,0.0,2,0.0,0,1,2,0,1,0,0,3,2,3,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
565,25-26-champions-league-borussia-dortmund-vs-tottenham-hotspur,90,0,0,0,0.0,0.0,0,0,0,0,36,21,0.0,0.0,3,0,0.0,0,0.0,0,0,7,0,1,0,0,1,0,0,0.0,1,0.0,0,0,1,0,0.07,0.07,0,21,0,0.0,1,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
591,25-26-champions-league-borussia-dortmund-vs-tottenham-hotspur,90,0,0,0,0.0,0.12,0,1,0,1,57,39,0.0,0.0,3,1,0.0,1,0.0,0,1,5,0,1,1,0,5,4,4,0.0,1,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,3,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
