id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
363,u,0.0,0.0,4.9,284,54.0,0,0.0,-1,1.0,0.3,290,46.0,0,0,0.0,740.0,81.0,0,0,0.0,698.0,73.0,0.0,0.0,0.0,16144,0,201769,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,81.0,0.0,736.0,80.0,0.0,726.0,80.0,0.0,740.0,81.0,,,,22,,Patrick,Bamford,Bamford,has departed the club as a free agent.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
493,a,100.0,100.0,4.8,348,218.0,0,0.0,-2,2.0,0.2,342,113.0,40,0,3.3,138.0,61.0,4,221,0.0,690.0,282.0,0.0,8.3,0.0,175280,33,177247,51,0.0,0.0,0.74,1.27,2.01,11.28,0.08,0.13,0.21,1.16,228.2,186.0,78.0,327.0,46.0,40.0,54.0,280.0,150.0,60.9,137.0,76.0,1.0,2.0,,22,,Sean,Longstaff,Longstaff,,,877,1,2,1,15,0,0,0,1,0,0,10,94,,,,0.0,0.1,1.54,1.03,9.65,35,23,36
660,d,75.0,100.0,4.9,326,201.0,0,0.0,-1,1.0,3.1,105,31.0,87,0,4.6,29.0,14.0,6,346,3.8,61.0,29.0,0.8,17.8,0.0,920855,703,581172,3483,2.8,3.8,2.09,2.85,4.94,22.89,0.12,0.17,0.29,1.35,392.8,61.0,17.0,603.6,4.0,4.0,213.0,82.0,52.0,121.1,21.0,17.0,3.0,1.0,,22,,Anton,Stach,Stach,Muscle injury - 75% chance of playing,,1529,3,5,3,28,0,0,0,2,0,0,18,163,,,,0.0,0.18,1.65,1.06,9.59,36,49,78
665,a,100.0,100.0,4.5,406,22.0,0,0.0,0,0.0,0.3,318,44.0,43,0,2.7,230.0,20.0,3,153,2.7,143.0,14.0,0.6,9.6,0.0,36534,71,49916,154,2.7,2.7,0.0,0.0,0.0,26.68,0.0,0.0,0.0,1.67,322.4,111.0,16.0,0.0,659.0,82.0,0.0,635.0,70.0,32.2,272.0,17.0,,,,22,,Lucas Estella,Perri,Perri,,,1440,0,0,3,29,0,0,0,2,0,38,16,39,,,,2.38,0.19,1.81,1.0,0.0,0,16,100
691,a,100.0,100.0,6.0,84,27.0,0,0.0,5,-5.0,13.8,26,6.0,91,2,4.5,38.0,3.0,15,299,5.7,15.0,2.0,1.0,15.2,0.0,2347238,14202,619772,5789,5.7,5.7,8.27,0.89,9.15,16.71,0.53,0.06,0.59,1.07,363.4,84.0,7.0,188.0,122.0,6.0,588.0,6.0,5.0,113.2,28.0,6.0,,,,22,,Dominic,Calvert-Lewin,Calvert-Lewin,,,1399,9,2,4,20,0,0,0,1,0,0,15,45,,,,0.0,0.26,1.29,0.96,2.89,8,12,25
698,a,100.0,100.0,5.5,146,93.0,0,0.0,0,0.0,0.1,457,155.0,52,3,2.7,233.0,101.0,3,172,2.0,203.0,86.0,0.4,9.5,0.0,57077,43,48339,69,2.0,2.0,2.84,0.87,3.71,16.8,0.23,0.07,0.3,1.37,175.4,232.0,99.0,172.3,137.0,98.0,270.0,61.0,39.0,61.8,133.0,74.0,,,,22,,Noah,Okafor,Okafor,,,1100,2,2,3,21,0,0,0,2,0,0,14,75,,,,0.0,0.25,1.72,1.15,6.14,17,20,38
706,a,,,3.9,732,212.0,0,0.0,-1,1.0,0.3,334,123.0,27,9,2.1,297.0,113.0,3,79,3.3,89.0,31.0,0.8,6.9,0.0,41346,197,25531,53,3.3,3.3,0.26,0.17,0.43,11.48,0.05,0.03,0.08,1.99,102.8,310.0,118.0,37.4,334.0,114.0,46.0,292.0,93.0,18.7,344.0,120.0,,,,22,,James,Justin,Justin,,,519,0,0,2,9,0,0,0,1,0,0,5,58,,,,0.0,0.35,1.56,0.87,8.84,8,43,24
741,u,0.0,0.0,4.5,482,67.0,0,0.0,0,0.0,0.1,439,63.0,0,0,0.0,717.0,77.0,0,0,0.0,664.0,69.0,0.0,0.0,0.0,27606,0,19829,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.0,77.0,0.0,711.0,76.0,0.0,694.0,76.0,0.0,716.0,77.0,,,,22,,Harry,Gray,Gray,has joined Rotherham United on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
787,a,,,4.5,463,282.0,0,0.0,0,0.0,0.0,774,339.0,0,0,0.0,701.0,287.0,0,0,0.0,648.0,250.0,0.0,0.0,0.0,266,8,40,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.0,285.0,0.0,695.0,286.0,0.0,676.0,279.0,0.0,700.0,286.0,,,,22,,Sam,Chambers,Chambers,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
366,a,100.0,100.0,5.4,158,4.0,0,0.0,-1,1.0,6.2,67,10.0,64,2,3.8,89.0,8.0,6,253,4.2,45.0,2.0,0.8,11.9,0.0,518639,1067,1192160,1870,4.7,4.7,0.0,0.02,0.02,17.1,0.0,0.0,0.0,1.01,289.4,139.0,20.0,0.1,468.0,15.0,0.0,769.0,88.0,28.9,291.0,20.0,,,,22,,Alisson,Becker,A.Becker,,,1530,0,0,6,19,0,0,0,0,0,34,17,63,,,,2.0,0.35,1.12,1.0,0.0,0,26,145
