id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
125,Vitaly,Janelt,Janelt,a,,,4.9,296,183.0,0.3,306,102.0,6.2,12.0,7.0,1,0,0.0,-1,1.0,2820,779,1.3,10.8,6.2,6.2,3.1,174.0,73.0,100.0,100.0,181.0,75.0,85.0,63.0,263.0,141.0,166.0,89.0,5.0,,,,,,,0.05,0.18,0.23,1.4,0.0,0.42,0.96,0.85,12.84,22,1.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,19.0,6956.0,1445.0,0.0,0.030000000000000027,0.20999999999999996,0.2400000000000002,1.5899999999999999,20.400000000000006,63.29999999999998,2.0,8.600000000000001,1.0,1.0,5.0,7.0
126,Mathias,Jensen,Jensen,a,,,4.9,299,185.0,0.1,499,174.0,2.2,190.0,78.0,2,0,0.0,-1,1.0,105,78,0.4,8.8,2.2,2.2,2.1,305.0,135.0,,,245.0,103.0,112.0,80.0,207.0,116.0,201.0,103.0,3.0,,5.0,,,,,0.13,0.22,0.35,1.42,0.0,0.42,1.16,1.05,8.22,22,2.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,179.0,208.0,0.0,0.4,0.31999999999999984,0.7200000000000002,1.5899999999999999,14.0,40.80000000000001,25.0,8.0,2.0,1.0,5.0,8.0
278,Jesurun,Rak-Sakyi,J.Rak-Sakyi,a,,,4.4,531,316.0,0.0,636,259.0,0.0,588.0,205.0,0,0,0.0,-1,1.0,21,3,0.0,0.0,0.0,0.0,0.0,648.0,248.0,100.0,100.0,639.0,240.0,637.0,245.0,612.0,234.0,642.0,242.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,Carlos,Alcaraz Durán,Alcaraz,i,Knock - Unknown return date,,5.2,219,136.0,0.1,478,166.0,0.8,300.0,132.0,0,0,0.0,-3,3.0,2,120,0.2,4.8,0.0,0.0,1.7,360.0,158.0,0.0,0.0,341.0,151.0,162.0,110.0,129.0,76.0,244.0,118.0,,,,,,,,0.14,0.06,0.2,1.78,0.0,0.41,1.1,0.82,8.23,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
779,Braiden,Graham,Graham,a,,,4.5,494,68.0,0.0,715,84.0,0.0,676.0,70.0,0,0,0.0,0,0.0,118,34,0.0,0.0,0.0,0.0,0.0,727.0,78.0,,,727.0,78.0,722.0,77.0,705.0,77.0,727.0,78.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
746,Kieran,Morrison,Morrison,a,,,4.5,480,295.0,0.0,730,314.0,0.0,664.0,261.0,0,0,0.0,0,0.0,9,14,0.0,0.0,0.5,0.5,0.0,716.0,298.0,,,715.0,297.0,710.0,297.0,693.0,292.0,715.0,297.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
434,Tom,Heaton,Heaton,a,,,3.9,716,63.0,0.3,329,45.0,0.0,431.0,28.0,0,0,0.0,-1,1.0,36,156,0.0,0.0,-1.0,-0.5,0.0,512.0,33.0,,,502.0,33.0,494.0,19.0,456.0,4.0,505.0,33.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439,Diego,León Blanco,D.Leon,a,,,4.2,638,156.0,0.1,554,200.0,0.0,551.0,231.0,0,0,0.0,-3,3.0,26,41,0.0,0.0,-1.0,-0.5,0.0,619.0,243.0,,,609.0,243.0,606.0,243.0,576.0,240.0,613.0,244.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
495,Isaac,Hayden,Hayden,u,Has departed the club as a free agent.,,4.5,402,245.0,0.0,743,319.0,0.0,610.0,219.0,0,0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,668.0,260.0,0.0,0.0,662.0,255.0,658.0,258.0,635.0,249.0,665.0,257.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
572,Radu,Drăgușin,Dragusin,a,,,4.5,437,88.0,0.0,714,245.0,0.2,391.0,148.0,0,0,0.0,0,0.0,20,19,0.0,0.2,0.2,0.2,1.0,449.0,164.0,100.0,100.0,682.0,252.0,459.0,167.0,409.0,151.0,471.0,167.0,,,,,,,,1.08,0.0,1.08,1.08,0.0,0.0,0.0,0.0,18.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
648,Marshall,Munetsi,Munetsi,u,has joined Paris FC on loan for the rest of the season.,,5.3,196,122.0,0.0,604,232.0,0.0,754.0,327.0,0,0,0.0,-2,2.0,0,25,0.0,7.2,0.0,0.0,2.9,204.0,87.0,0.0,0.0,247.0,104.0,282.0,163.0,95.0,56.0,227.0,114.0,,,,,,,,0.17,0.04,0.21,1.38,0.0,0.0,1.96,0.93,8.26,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
649,Boubacar,Traoré,B.Traore,u,Has joined FC Metz on loan for the rest of the season.,,5.0,261,160.0,0.0,791,353.0,0.0,732.0,311.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,762.0,332.0,0.0,0.0,762.0,332.0,760.0,332.0,752.0,330.0,762.0,332.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
650,Tawanda,Chirewa,Chirewa,d,Illness - 75% chance of playing,,4.3,587,341.0,0.2,353,117.0,0.2,383.0,168.0,0,0,0.0,-2,2.0,22,157,0.0,0.5,-0.2,0.2,1.0,437.0,193.0,75.0,75.0,458.0,211.0,457.0,223.0,584.0,218.0,469.0,216.0,,,,,,,,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,14.4,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
651,Tom,Edozie,Edozie,a,,,4.3,605,352.0,0.4,283,96.0,0.0,573.0,200.0,0,0,0.0,-2,2.0,144,212,0.0,0.0,-0.5,0.0,0.0,636.0,243.0,,,626.0,234.0,624.0,239.0,597.0,228.0,629.0,236.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Romain,Faivre,Faivre,a,,,4.5,420,252.0,0.1,538,192.0,0.0,622.0,226.0,0,0,0.0,0,0.0,40,8,0.0,0.0,-0.5,0.0,0.0,677.0,266.0,100.0,100.0,671.0,261.0,669.0,264.0,648.0,256.0,674.0,263.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
687,Remy,Rees-Dottin,Rees-Dottin,a,,,4.4,554,331.0,0.1,440,150.0,0.0,604.0,215.0,0,0,0.0,-1,1.0,20,40,0.0,0.0,-0.5,0.0,0.0,663.0,257.0,,,656.0,251.0,653.0,255.0,629.0,245.0,659.0,253.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,Malick,Yalcouyé,Yalcouye,u,Has joined Swansea City on loan for the rest of the season.,,5.0,278,172.0,0.0,752,326.0,0.0,740.0,317.0,0,0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,769.0,337.0,0.0,0.0,769.0,337.0,767.0,337.0,760.0,335.0,769.0,337.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,Marc,Guiu Paz,Marc Guiu,a,,,4.2,628,85.0,6.6,60,11.0,0.0,543.0,50.0,0,0,0.0,-3,3.0,2913,5339,0.0,2.9,0.0,0.0,1.3,404.0,47.0,100.0,100.0,416.0,45.0,333.0,40.0,230.0,43.0,371.0,43.0,,,,,,,,0.53,0.11,0.64,2.06,0.0,0.0,0.73,0.36,2.55,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5264.0,14676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,Ashley,Barnes,Barnes,a,,,4.2,612,84.0,1.3,158,24.0,0.0,534.0,49.0,-1,0,0.0,-3,3.0,1557,1127,0.0,0.2,0.0,-0.5,1.0,434.0,50.0,,,478.0,58.0,456.0,56.0,392.0,54.0,461.0,54.0,,,2.0,,,,,1.1,0.0,1.1,4.1,0.0,0.0,10.0,0.0,10.0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2524.0,2248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,Michael,Obafemi,Obafemi,u,has joined VfL Bochum  on loan for the rest of the season.,,4.4,516,72.0,0.1,453,65.0,0.0,583.0,57.0,0,0,0.0,-1,1.0,0,23,0.0,0.0,0.0,0.0,0.0,644.0,65.0,0.0,0.0,634.0,65.0,632.0,64.0,606.0,64.0,637.0,65.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470,Martin,Dúbravka,Dúbravka,a,,,4.0,644,41.0,32.9,7,2.0,4.0,56.0,4.0,5,0,0.0,0,0.0,6660,7848,1.0,17.0,4.0,3.5,3.1,167.0,15.0,100.0,100.0,5.0,1.0,534.0,48.0,498.0,33.0,120.0,1.0,,,,,,,,0.0,0.0,0.0,2.06,3.86,0.14,1.91,1.0,0.0,22,5.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,25.0,12743.0,17592.0,0.0,0.0,0.0,0.0,3.1799999999999997,46.799999999999955,0.0,0.0,4.700000000000003,0.0,3.0,11.0,0.0
681,Benjamin,Sesko,Šeško,a,,,7.2,33,13.0,3.5,97,17.0,3.3,111.0,12.0,0,0,0.0,-3,3.0,2438,8538,0.5,7.6,2.3,2.8,3.2,166.0,17.0,100.0,100.0,189.0,14.0,181.0,16.0,15.0,8.0,69.0,12.0,,,,,,,,0.43,0.02,0.45,1.33,0.0,0.09,1.73,0.95,3.82,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7461.0,11332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
733,Senne,Lammens,Lammens,a,,,5.0,260,9.0,1.8,139,18.0,3.7,87.0,11.0,6,0,0.0,0,0.0,2314,3358,0.7,9.4,2.7,3.2,2.9,202.0,18.0,,,132.0,19.0,759.0,88.0,428.0,1.0,285.0,19.0,,,,,,,,0.0,0.0,0.0,1.13,2.12,0.19,1.31,1.0,0.0,22,6.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,22.0,3109.0,9534.0,0.0,0.0,0.0,0.0,0.4499999999999993,10.600000000000023,0.0,0.0,1.1000000000000014,0.0,1.0,4.0,0.0
755,Shea,Lacey,Lacey,a,,,4.5,471,288.0,0.0,694,294.0,0.3,359.0,160.0,0,0,0.0,0,0.0,102,114,0.1,0.4,-0.7,0.0,1.0,454.0,208.0,100.0,0.0,456.0,209.0,439.0,214.0,373.0,188.0,455.0,209.0,,,,,,,,0.52,0.0,0.52,0.82,0.0,0.0,0.0,0.0,7.5,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Owen,Bevan,Bevan,a,,,3.8,785,250.0,0.2,391,141.0,0.0,422.0,163.0,0,0,0.0,-2,2.0,152,92,0.0,0.0,-0.5,0.0,0.0,504.0,184.0,,,494.0,184.0,485.0,184.0,446.0,173.0,497.0,184.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,Dan,Burn,Burn,i,Rib Injury - Expected back 25 Jan,,5.0,242,38.0,3.3,99,39.0,0.0,725.0,254.0,0,0,0.0,0,0.0,40,3284,0.0,13.4,0.0,0.0,4.5,34.0,16.0,0.0,0.0,155.0,67.0,262.0,80.0,272.0,80.0,233.0,78.0,,,,,,,,0.01,0.02,0.03,0.89,0.0,0.43,1.22,1.08,8.68,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,7098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486,Anthony,Elanga,Elanga,a,,,6.5,53,34.0,2.6,114,37.0,0.3,373.0,166.0,1,0,0.0,-5,5.0,222,545,0.0,4.3,0.3,0.3,1.6,376.0,169.0,100.0,100.0,338.0,149.0,161.0,109.0,202.0,113.0,272.0,135.0,,,,,,,,0.14,0.07,0.21,1.17,0.0,0.26,1.81,0.9,3.35,22,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,415.0,1015.0,0.0,0.0,0.020000000000000018,0.019999999999999796,0.030000000000001137,4.0,5.0,0.0,0.8999999999999986,0.0,1.0,0.0,1.0
122,Antoni,Milambo,Milambo,i,Knee injury - Expected back 01 Jun,,5.2,220,137.0,0.0,641,261.0,0.0,748.0,324.0,0,0,0.0,-3,3.0,4,9,0.0,0.2,0.0,0.0,1.0,474.0,224.0,0.0,0.0,457.0,210.0,435.0,211.0,765.0,337.0,465.0,215.0,,,,,,,,0.0,0.02,0.02,2.98,0.0,0.0,6.0,2.0,8.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
