id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
35,u,0.0,0.0,4.0,664,51.0,0,0.0,0,0.0,0.0,719,83.0,0,0,0.0,566.0,69.0,0,0,0.0,498.0,64.0,0.0,0.0,0.0,0,0,1210,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.0,69.0,0.0,550.0,58.0,0.0,513.0,43.0,0.0,558.0,69.0,,,,21,,Filip,Marschall,Marschall,Has joined Stevenage permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
688,a,,,3.9,743,81.0,0,0.0,-1,1.0,0.6,230,31.0,0,0,0.0,526.0,48.0,0,0,0.0,458.0,43.0,0.0,0.0,0.0,57157,687,37925,1041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0,48.0,0.0,509.0,35.0,0.0,470.0,20.0,0.0,519.0,48.0,,,,21,,James,Wright,Wright,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
190,a,,,3.9,742,219.0,0,0.0,-1,1.0,0.9,189,73.0,43,0,3.1,167.0,65.0,2,117,3.0,122.0,46.0,0.8,11.0,0.0,243294,780,180749,2324,2.5,3.0,0.21,0.24,0.45,21.85,0.02,0.02,0.04,1.69,267.6,153.0,67.0,43.1,321.0,108.0,78.0,230.0,62.0,38.9,228.0,76.0,,,,21,,Hjalmar,Ekdal,Ekdal,,,1163,0,0,2,24,0,0,0,0,0,0,13,143,,,,0.0,0.15,1.86,1.01,9.98,19,110,31
776,a,,,4.5,499,308.0,0,0.0,0,0.0,0.0,789,351.0,0,0,0.0,725.0,306.0,0,0,0.0,684.0,282.0,0.0,0.0,0.0,90,13,34,8,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0,306.0,0.0,720.0,306.0,0.0,704.0,301.0,0.0,725.0,306.0,,,,21,,Oliver,Pimlott,Pimlott,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
146,a,100.0,100.0,4.5,396,72.0,0,0.0,0,0.0,0.9,190,74.0,48,3,2.4,254.0,100.0,0,242,1.8,209.0,81.0,0.4,10.7,0.0,125570,1591,173921,1239,1.8,1.3,0.66,0.26,0.92,28.39,0.03,0.01,0.04,1.46,374.0,74.0,32.0,65.8,268.0,82.0,75.0,238.0,64.0,51.7,166.0,54.0,,1.0,,21,,Lewis,Dunk,Dunk,,,1755,0,1,4,27,0,0,0,8,0,0,19,184,,,,0.0,0.21,1.38,0.97,7.28,22,120,85
167,a,100.0,0.0,4.5,449,271.0,-1,1.0,-5,5.0,1.3,164,56.0,25,0,1.6,366.0,163.0,0,97,0.3,358.0,161.0,0.1,5.6,0.0,148395,597,524016,2074,0.3,0.0,0.21,0.22,0.43,12.92,0.02,0.02,0.04,1.3,63.2,358.0,158.0,68.4,261.0,156.0,16.0,362.0,183.0,14.7,358.0,169.0,,,,21,,Carlos,Baleba,Baleba,,,894,0,0,4,13,0,0,0,4,0,0,14,104,,,,0.0,0.4,1.31,1.41,10.47,18,35,51
80,a,100.0,100.0,4.0,692,188.0,0,0.0,0,0.0,0.2,353,129.0,3,0,1.0,428.0,160.0,0,2,0.2,383.0,141.0,0.0,0.8,0.0,16525,391,27554,427,0.2,0.2,0.0,0.0,0.0,1.62,0.0,0.0,0.0,4.29,1.8,463.0,167.0,2.5,428.0,157.0,2.0,412.0,155.0,0.6,461.0,164.0,,,,21,,Julio,Soler Barreto,Soler,,,34,0,0,0,2,0,0,0,0,0,0,0,1,,,,0.0,0.0,5.29,0.0,2.65,1,0,4
159,d,25.0,25.0,5.8,103,67.0,0,0.0,-2,2.0,0.0,731,315.0,0,0,0.0,784.0,348.0,0,0,0.0,778.0,347.0,0.0,0.0,0.0,612,11,2436,11,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,348.0,0.0,784.0,348.0,0.0,782.0,347.0,0.0,784.0,348.0,,,,21,,Solly,March,March,Knee injury - 25% chance of playing,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
756,a,,,4.5,503,311.0,0,0.0,0,0.0,0.0,730,314.0,0,0,0.0,727.0,308.0,0,0,0.0,686.0,284.0,0.0,0.0,0.0,1178,45,653,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.0,308.0,0.0,722.0,308.0,0.0,707.0,304.0,0.0,727.0,308.0,,,,21,,Malcom,DaCosta,DaCosta,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
175,a,,,4.4,545,325.0,0,0.0,-1,1.0,0.1,499,174.0,1,0,1.0,441.0,197.0,0,3,0.0,605.0,222.0,0.0,0.2,0.0,10498,60,13151,152,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.0,245.0,0.0,643.0,249.0,0.0,617.0,237.0,0.0,649.0,247.0,,,,21,,Joe,Knight,Knight,,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
112,u,0.0,0.0,4.5,411,81.0,0,0.0,0,0.0,0.0,689,236.0,0,0,0.0,668.0,250.0,0,0,0.0,622.0,244.0,0.0,0.0,0.0,211,0,3890,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.0,249.0,0.0,659.0,250.0,0.0,637.0,249.0,0.0,665.0,250.0,,,,21,,Mads,Roerslev Rasmussen,Roerslev,Has joined Southampton permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
528,a,,,4.2,623,34.0,0,0.0,-3,3.0,0.2,380,55.0,0,0,0.0,609.0,83.0,0,0,0.0,545.0,78.0,0.0,0.0,0.0,9899,189,30624,237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.0,83.0,0.0,594.0,73.0,0.0,561.0,59.0,0.0,603.0,83.0,,,,21,,Anthony,Patterson,Patterson,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
367,a,,,4.2,626,36.0,0,0.0,-3,3.0,0.6,238,32.0,19,0,3.8,90.0,7.0,0,70,0.0,547.0,80.0,0.0,4.5,0.0,149103,388,156787,1362,0.5,-0.5,0.0,0.0,0.0,7.1,0.0,0.0,0.0,1.42,140.0,262.0,22.0,0.0,596.0,75.0,0.0,563.0,61.0,13.9,362.0,22.0,,,,21,,Giorgi,Mamardashvili,Mamardashvili,,,450,0,0,1,10,0,1,0,0,0,17,5,45,,,,3.4,0.2,2.0,1.0,0.0,0,7,43
